filename,true_category,true_brand
527648_710917218R234SD03MYERSV3SULLIVANSLIM_001Spec_DENIMHOUSE_0703_2/page_1.png,Autres documents techniques,RALPH LAUREN
527648_710917218R234SD03MYERSV3SULLIVANSLIM_001Spec_DENIMHOUSE_0703_2/page_2.png,BOM,RALPH LAUREN
527648_710917218R234SD03MYERSV3SULLIVANSLIM_001Spec_DENIMHOUSE_0703_2/page_3.png,BOM,RALPH LAUREN
527648_710917218R234SD03MYERSV3SULLIVANSLIM_001Spec_DENIMHOUSE_0703_2/page_6.png,Technical Sketch,RALPH LAUREN
552093_51_G125_001_1/page_1.png,Labels,GAS
568336_01_COACHJACKET/page_1.png,Technical Sketch,5TATE OF MIND
568336_01_COACHJACKET/page_2.png,Technical Sketch,5TATE OF MIND
568336_01_COACHJACKET/page_3.png,Fabric Information,5TATE OF MIND
568336_01_COACHJACKET/page_4.png,Colorways,5TATE OF MIND
568336_01_COACHJACKET/page_5.png,Colorways,5TATE OF MIND
568336_MAJ1-01_NAVY_ARTWORK_02_02/page_1.png,Artwork,5TATE OF MIND
568336_MAJ1-01_NAVY_ARTWORK_02_02/page_2.png,Artwork,5TATE OF MIND
572872_355992staruppk_20240529_121247_lectra_size_set/page_1.png,Autres documents techniques,Inconnu
572872_355992staruppk_20240529_121247_lectra_size_set/page_2.png,Autres documents techniques,Inconnu
572872_355992staruppk_20240529_121247_lectra_size_set/page_3.png,Autres documents techniques,Inconnu
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_1.png,Autres documents techniques,GAS
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_2.png,Packaging,GAS
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_3.png,Packaging,GAS
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_4.png,Packaging,GAS
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_5.png,Packaging,GAS
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_6.png,Packaging,GAS
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_7.png,Packaging,GAS
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_8.png,Packaging,GAS
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_9.png,Packaging,GAS
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_10.png,Packaging,GAS
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_11.png,Packaging,GAS
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_12.png,Packaging,GAS
583114_Microsoft_Word___GENERAL_NOTES_FOR_PACKING/page_13.png,Autres documents techniques,GAS
583132_guidelines_denim_ss24/page_1.png,Autres documents techniques,GAS
583132_guidelines_denim_ss24/page_2.png,Labels,GAS
583132_guidelines_denim_ss24/page_3.png,Labels,GAS
583132_guidelines_denim_ss24/page_4.png,Labels,GAS
583132_guidelines_denim_ss24/page_5.png,Labels,GAS
583132_guidelines_denim_ss24/page_6.png,Labels,GAS
583132_guidelines_denim_ss24/page_7.png,Labels,GAS
583132_guidelines_denim_ss24/page_8.png,Labels,GAS
583132_guidelines_denim_ss24/page_9.png,Labels,GAS
583132_guidelines_denim_ss24/page_10.png,Labels,GAS
583132_guidelines_denim_ss24/page_11.png,Labels,GAS
583132_guidelines_denim_ss24/page_12.png,Labels,GAS
583132_guidelines_denim_ss24/page_13.png,Labels,GAS
